GeneID	control	control	control	perturbed	perturbed	perturbed
6540	1	3	2	7	9	13
3423	11343	7106	14112	17521	18739	21426
5646	261	513	378	1194	1290	1304
7752	431	496	668	674	728	800
920	0	0	0	3	2	6
10233	432	674	586	862	852	936
695	3	3	2	3	1	0
3077	3425	2790	4133	4288	4580	5148
22955	5002	4841	6641	2851	2937	3666
2534	3799	4206	4868	4203	4056	4714
3097	4129	1743	5136	8146	8650	9311
2326	0	0	0	0	0	0
6924	5641	5237	7438	6916	7065	8248
11313	4301	8074	6810	4519	5100	5065
1185	1486	1186	2178	2115	2173	2841
9902	2654	4063	4827	33594	33999	35124
654364	31403	57042	40685	28402	31920	32252
6534	11	15	20	29	22	33
10867	2202	2774	3257	2677	2780	3042
55727	2584	1363	3406	3888	3983	4646
9546	675	1294	1316	829	848	907
54903	654	910	1000	1258	1240	1709
51099	2574	1858	3004	1501	1501	1753
3730	2591	1607	3372	1977	2031	2299
26993	2581	3936	3691	2951	2695	3640
54799	1596	811	1970	2517	2374	2912
51096	4657	6252	5964	5314	5394	6150
54476	4230	4528	6358	4601	4424	5695
54902	3733	4243	4754	3107	3209	3590
5725	15918	19312	24529	14755	15798	16671
8193	91	170	145	137	145	136
9066	25	25	23	20	12	21
23395	2957	2849	4121	3647	4070	4590
5286	4911	1683	6257	6573	6482	7663
5329	5322	7903	7357	22403	24333	26257
54443	50515	25270	65318	13761	14502	17356
58525	1745	2921	3314	2399	2601	2667
23637	6043	4022	7684	6759	7108	8471
1634	0	0	2	12	15	23
54814	1560	2767	2307	1481	1581	1762
5536	4603	6366	6850	4620	4766	5517
23177	1321	1293	1754	1220	1337	1471
8491	2705	1375	3395	3778	3691	4290
27033	0	0	0	1	1	3
7305	0	0	0	0	0	0
57146	2330	2957	2956	2421	2503	2891
2556	0	0	0	0	0	0
672	3238	2381	4387	2840	3139	3733
2067	3755	6055	5573	6806	7173	8203
933	769	769	982	248	254	267
7869	3194	5417	5499	228	181	285
51360	4492	2681	5900	8720	8779	10129
4007	692	1072	1160	1336	1381	1704
4057	27	36	33	2	2	6
2137	3457	3365	4880	6502	6876	7672
9971	0	0	0	0	1	2
60481	17074	14406	22240	17947	18128	21549
240	811	911	1185	0	1	1
8284	0	0	0	0	0	0
57658	3759	3399	5137	6634	6188	9363
55148	4394	3866	5640	3176	3459	3782
11183	5837	3636	7849	8415	8464	10444
30845	518	436	690	71	57	95
5704	7198	11117	9671	8826	9841	10652
23324	3757	4283	5850	10310	10744	11127
57709	0	0	0	0	0	0
5010	404	385	450	7	14	11
51629	10572	20765	17495	10384	10706	11637
9961	6708	12937	11306	12176	12545	13512
51667	7457	8572	10413	4480	4514	5359
5238	8423	6871	10767	9965	10166	12993
112611	773	903	1032	1428	1424	1855
1195	5281	5019	6395	9774	9475	11409
55703	962	865	1265	1507	1659	1844
23357	653	471	812	929	780	1123
9604	5001	4569	6503	5081	5115	5942
1774	2137	3000	3135	1795	1942	2232
1663	2842	3592	4484	2721	2362	4357
50865	3931	5800	5034	4357	4645	5232
9052	23083	24573	29876	1735	1778	2119
10046	4135	3340	5694	5203	5703	6174
923	2	2	2	9	2	3
10460	8954	16619	14011	8323	8878	10255
23376	1690	633	2097	3667	3785	4410
23649	2747	3463	3646	2865	3098	3692
23144	802	1144	1396	1169	1309	1352
823	13271	19178	21016	16676	17862	19298
55	0	0	2	0	1	0
4190	14699	18026	17519	13522	14400	16123
10463	7004	5471	8756	9119	9234	11108
10903	2355	2017	3287	4357	3892	6654
1355	2490	2323	3160	2514	2687	3366
440193	1281	1171	2026	1251	1210	1393
10138	503	417	735	1202	1163	1493
10771	6265	4152	8026	5149	5436	6024
7454	70	111	110	58	62	73
1800	34	102	76	6	11	17
637	2156	3294	2974	2812	2828	2895
9782	23817	17157	29850	28955	29577	35765
29881	5	9	10	6	5	9
64132	1985	3245	3234	4743	5064	5214
84220	110	53	141	203	245	277
81551	4	0	0	0	1	1
23386	9037	10653	11899	6568	6965	8258
3670	0	0	1	0	0	0
55349	18	24	22	1	2	0
53832	13	9	1	24	18	20
1179	0	0	0	0	0	0
22802	0	0	0	2	0	0
55830	4791	5697	5969	6558	6944	7871
27032	10200	7681	12893	16925	17083	20027
3479	0	0	0	3	0	6
92745	111	200	179	21	22	31
10928	9861	8376	13469	12440	12933	14585
22902	1255	978	1668	960	1022	1283
1272	1	0	0	477	444	549
6556	4	14	11	14	14	11
25937	4614	2695	5493	10491	10965	12534
8540	6801	4473	8543	7346	7570	8684
63932	1542	1887	2056	1316	1484	1641
477	1	6	20	2	0	1
55622	2264	2668	3022	2932	2956	3444
147948	8	24	20	93	107	114
23584	8	12	11	18	12	28
23187	3274	4214	5293	9562	9222	11710
8685	2	5	7	0	2	0
1591	29	20	25	50	45	64
56981	439	535	667	599	621	677
57586	33	29	43	1	2	3
6591	2495	2470	3201	3520	3786	4379
972	45572	67809	63123	338	392	459
3082	0	0	2	0	1	0
54764	4085	3647	5160	4901	5035	6035
23154	1289	1669	1976	3341	3473	3647
25960	25	28	37	92	102	110
155100	0	1	0	0	0	0
55734	1223	1242	1715	1231	1307	1382
4331	2655	3120	3272	2745	2760	3172
23034	6393	3835	8219	3666	3841	4770
864	0	1	1	12	7	5
4361	4016	3305	5410	3811	3830	5110
58473	147	252	210	82	69	93
1992	13450	15727	17080	5786	5768	6583
64816	0	2	5	2	0	4
11136	9	21	16	11	6	15
6683	1091	679	1311	1516	1603	1875
9369	5	7	3	0	0	1
114879	866	1298	1502	1688	1608	1833
9716	3945	2401	4883	5434	5655	6751
1373	389	252	505	459	494	586
732	0	0	0	0	0	0
2273	1481	1284	1796	3904	4000	4495
51507	9660	12771	12068	12991	13550	15379
2554	0	0	0	0	0	0
55655	1124	1359	1477	3	5	8
57210	385	472	572	1053	1201	1157
9921	16132	19742	20258	15334	16082	18829
55778	1101	1654	1800	998	1049	1491
64429	4193	4181	5396	5009	5048	6094
57476	2051	1423	2798	1763	1837	2260
6050	5322	13033	10489	7198	7857	7227
4719	7724	6161	9468	11191	11799	13757
9821	5304	3002	6947	9358	9174	10879
23071	4230	5146	5495	7850	7882	9104
211	4022	4674	4973	7784	8241	8974
330	19765	12830	25793	1202	1131	1379
11215	3330	1140	4253	5952	6240	7372
51022	575	943	722	500	617	735
6617	6113	5768	7311	5933	5777	6604
51071	2485	2798	3183	2613	2838	3089
11171	7106	8585	8898	11783	12272	14054
1244	150	91	206	235	183	323
50619	748	1346	1099	1288	1226	1494
51177	1557	2932	2165	5394	5416	5937
2730	6926	4238	8267	6448	6547	7494
23304	7903	5131	10119	6329	6621	7780
30846	13753	19925	19640	5510	6246	6467
55635	6889	4769	8853	4174	4314	5272
25901	927	1257	1106	1250	1416	1469
58528	2175	2251	2744	3870	3946	4641
3298	2164	1753	2707	2466	2477	3073
51230	6742	5340	9046	8275	8628	10216
8630	37	48	57	55	72	69
10062	899	1406	1334	2005	2123	2591
1890	592	1359	1062	560	503	527
29781	2140	4583	3542	1870	2006	2136
10953	6512	8336	7844	12382	13420	15289
11231	6523	5338	8356	10495	11145	12729
23633	8655	8734	11321	8285	8700	10496
7431	110925	166179	147715	148181	154988	173861
100533107	2323	3114	4681	3072	2886	4195
355	395	343	446	464	431	521
8635	2552	4236	3332	4296	4429	4966
960	94808	98133	122284	139183	140944	163025
3755	0	0	0	0	0	0
56895	1240	1403	1652	2571	2316	3364
57823	132	166	178	0	2	0
11119	3074	2630	4024	3405	3518	4364
4285	1036	1235	1350	1100	1160	1261
5583	424	426	545	443	439	535
3645	0	0	0	1	1	1
3459	5491	5291	6729	3462	3711	4001
11285	1010	1994	1485	2372	2624	2741
9047	10	10	16	5927	6202	6736
7444	1032	805	1312	1624	1634	1945
7133	2076	3154	3008	4785	5048	5374
55591	7295	5039	8785	8768	8740	10305
5452	1605	2226	2261	13521	13621	17365
65980	3959	5378	5561	2683	2575	3363
6642	5232	5198	6735	9263	9289	11186
9519	975	1234	1272	972	1044	1149
56938	4971	3690	6458	7038	7224	8766
9774	8421	5874	10834	9629	9894	12121
55334	6429	5766	8084	6635	7191	8580
286	940	822	1318	1004	997	1060
3381	0	2	0	3	3	0
51106	590	698	713	785	730	877
9135	5841	5026	7366	5781	5811	7414
3149	4507	5800	5470	2094	2315	2517
23279	6011	3743	8169	9004	9253	11356
