GeneID	perturbed	perturbed	perturbed	control	control
23395	8676	7927	8695	9107	9132
5286	4450	4057	8163	15499	16571
5329	606	651	787	697	665
54443	7199	6602	7075	10111	10023
58525	6486	6144	6149	5616	6021
23637	2449	2388	3408	3591	4275
1634	1	0	0	0	0
54814	1182	1087	1816	1581	2273
5536	13005	12193	10239	9526	10643
23177	3283	3097	3575	3440	3391
8491	4011	3743	3404	4783	5302
27033	54	45	20	34	41
7305	6	2	1	0	0
57146	1277	1208	1775	1700	2034
2556	691	619	956	504	733
672	2669	2501	2999	4386	4700
2067	3276	3160	2605	2142	2223
933	43	22	26	16	25
7869	260	250	255	216	186
51360	2366	2050	1414	1511	1542
4007	511	475	458	433	499
4057	24	26	55	33	60
2137	17894	16898	19972	18220	17172
9971	0	0	0	1	0
60481	11366	10464	14228	15124	19043
240	77	99	95	63	102
8284	0	0	0	0	0
57658	1122	1011	1551	1057	961
55148	5558	4981	5894	5759	5779
11183	2029	1976	1999	3979	3637
30845	1648	1514	1841	1926	1969
5704	13778	12822	10448	10770	10291
23324	482	389	735	398	628
57709	91	75	87	153	95
5010	310	321	245	301	320
51629	20004	18648	17108	14685	15514
9961	196	154	352	110	286
51667	3921	3752	4132	4319	4217
5238	2929	2734	3474	5219	4561
112611	565	513	587	551	601
1195	1973	1771	2355	3637	4033
55703	2261	1880	2005	2530	2430
23357	3405	3152	4503	4000	5322
9604	1943	1680	1821	1966	2191
1774	301	313	296	217	250
1663	7520	7330	7358	6994	7223
50865	2653	2524	1957	1275	1852
9052	53	50	69	41	69
10046	70	58	78	28	26
923	10	0	5	0	11
10460	20289	19938	18749	17482	18362
23376	1535	1485	1420	2484	2543
23649	5574	5260	5367	5116	5289
23144	2459	2461	2342	2024	2532
823	16539	15390	14752	11245	12267
55	60	39	55	33	71
4190	26003	23603	16974	15857	17087
10463	7269	7135	6332	8833	8604
10903	262	238	354	353	310
1355	3500	3251	3876	4528	4501
440193	4765	4675	6216	5660	5997
10138	97	75	64	63	70
10771	2446	2304	2919	3566	3234
7454	50	57	52	15	59
1800	871	821	450	195	261
637	3870	3775	2919	2338	2214
9782	46579	43344	37841	56700	62216
29881	29	20	13	12	18
64132	3709	3706	4528	3376	4257
84220	0	0	6	5	2
81551	8	9	5	1	2
23386	6769	6375	7021	5593	6651
3670	20	15	28	24	24
55349	1188	1189	1041	1260	1141
53832	233	195	214	251	229
1179	0	0	1	1	1
22802	0	0	0	4	0
55830	2700	2472	2448	2938	2839
27032	6782	6177	8390	10347	10478
3479	0	0	0	0	0
92745	4837	4312	4276	4224	3802
10928	6364	5967	7099	6884	8206
22902	1747	1669	2230	2203	2749
1272	845	818	422	508	701
6556	8	8	3	5	2
25937	987	937	1510	1981	1869
8540	6895	6386	6182	8756	8624
63932	3222	3135	2204	2089	2277
477	3741	3590	8498	5686	8519
55622	3629	3475	2867	3281	3455
147948	184	201	188	323	218
23584	58	68	16	10	7
23187	4811	4729	5149	4403	5022
8685	0	0	0	0	0
1591	12	20	2	6	11
56981	1220	990	1488	1497	1489
57586	1576	1376	1558	1132	1922
6591	27	33	105	41	26
972	3807	3331	3196	3071	2862
3082	2	1	8	9	9
54764	1071	959	1461	1722	1815
23154	5051	4737	4441	5258	4117
25960	409	368	510	193	312
55734	2230	2094	2021	1716	1927
4331	3512	3321	2804	3345	3392
23034	454	427	951	1622	1093
864	128	115	164	56	66
4361	2394	2289	2565	3850	4205
58473	842	705	885	632	668
1992	1377	1269	844	612	740
64816	2	0	8	4	0
11136	3	1	0	4	6
6683	1862	1763	2153	3229	3460
9369	143	148	141	151	148
114879	1325	1163	1322	595	742
9716	11421	10111	11910	12490	14747
1373	1874	1878	2202	2603	2386
732	0	0	0	0	0
2273	3818	3531	3567	2843	3503
51507	4189	3882	3348	3260	3348
2554	18	21	9	57	21
55655	20589	19031	17032	14601	16811
57210	2028	1986	3047	2385	3104
9921	12015	10862	11894	9910	11843
55778	870	824	882	805	934
64429	2481	2167	2381	3294	3264
57476	1575	1405	1862	1511	2038
6050	3420	3229	3815	3456	3506
4719	11707	10726	10736	10791	10883
9821	3630	3555	4155	8516	9110
23071	3326	2984	3118	3802	3929
211	6384	5695	4975	5874	5310
330	4	3	11	25	22
11215	1721	1579	2516	4236	4314
51022	602	581	550	801	840
6617	1397	1289	833	1501	1734
51071	1310	1266	1197	904	1090
11171	23570	21455	20088	21699	24002
1244	54	53	56	65	66
50619	971	841	839	611	796
51177	3028	2946	3088	2308	2284
2730	1440	1247	1682	2225	1875
23304	2828	2613	3698	4070	4375
30846	943	940	1230	1067	946
55635	2609	2477	2860	4555	5101
25901	772	651	720	765	706
58528	939	792	1489	1291	1510
3298	1662	1652	1501	1814	2046
51230	5421	5066	7206	7030	8771
8630	168	146	114	207	188
10062	1249	1197	951	907	1041
1890	15	27	11	8	3
29781	6284	5791	4699	4003	3977
10953	6516	6098	5416	4320	5055
11231	5696	5170	7152	9705	10047
23633	10575	9723	10156	10602	11762
7431	12095	10563	7187	7332	3165
355	349	391	340	434	258
8635	1064	998	1258	1061	1329
960	1698	1549	1876	1743	1443
3755	1758	1661	1259	795	1073
56895	2535	2201	3301	2802	3252
57823	1	0	1	0	0
11119	427	403	725	594	673
4285	3154	2889	2301	2117	2315
5583	281	318	343	271	313
