GeneID	control	control	control	control	control	perturbed	perturbed	perturbed	perturbed	perturbed
7005	1447	1107	1426	1727	1691	1291	1186	1503	1991	1367
6401	0	0	0	0	0	0	0	0	6	0
55735	1962	1694	2005	2481	2479	2689	2427	3100	2408	1831
2328	4	1	0	11	5	6	1	0	20	30
29116	451	331	371	738	704	854	921	1175	1431	1040
27035	1	3	0	0	0	1	0	0	0	4
1870	2	0	2	1	0	8	3	2	0	0
5689	13060	10802	11047	10906	10724	11469	10422	12651	10145	7601
6853	5	1	3	2	10	6	14	10	17	22
3720	530	434	525	423	381	1382	1326	1284	1378	1119
6792	771	689	884	2081	2306	685	694	903	1697	1210
57172	0	0	0	2	0	1	0	0	0	0
728642	132	101	110	109	99	105	144	152	145	102
65220	2749	2118	2349	2280	2190	2393	2190	2906	2492	1823
7021	0	0	0	0	2	0	1	0	0	0
83741	0	0	0	0	0	0	0	0	0	0
9940	6	2	3	9	4	5	3	9	8	6
9265	2988	2291	2701	3645	3680	1770	1523	2168	1783	1062
53616	21	12	13	76	76	18	14	26	65	61
6856	1273	1285	1443	2039	1802	1559	1437	1911	1588	1305
1534	2002	1656	1851	1744	1666	1465	1194	1764	1543	1205
9043	10912	9493	10652	13067	13390	8339	8238	10703	10018	7342
1951	100	85	125	145	147	133	139	184	238	171
10157	978	841	923	588	656	992	898	1163	535	357
55200	0	3	3	2	3	4	3	3	23	2
51188	525	504	546	620	608	762	735	946	633	606
84954	274	240	312	255	249	141	110	140	181	146
4257	8804	7232	7896	10912	9066	6491	6346	8473	8539	5942
1407	1137	1102	1227	1620	1592	851	697	948	1406	881
8993	0	0	0	0	0	0	0	0	0	0
4784	1232	987	1297	2244	2117	1115	1097	1350	2127	1396
6482	5813	4877	5731	6341	6663	4229	4421	5551	10146	7682
64386	7	6	13	29	41	68	44	63	96	85
9235	421	403	514	497	530	672	499	696	1257	888
5310	10533	7706	10534	10183	12060	8294	7133	8534	11504	6908
23542	24	8	22	78	76	142	118	129	254	169
9862	1311	1061	1177	1594	1608	2126	1954	2455	2304	1544
23221	644	459	531	557	589	579	534	737	528	331
54497	2444	1972	2278	2184	2289	1793	1743	2504	1796	1374
7095	5314	4638	5607	6086	4949	5699	5347	6698	4187	3153
6224	55499	49933	49236	39095	41451	30005	25918	30378	25462	20170
7812	52482	45026	48373	61978	61516	40162	38073	47138	49199	37355
9690	9457	8087	9032	12469	13027	9244	8837	11419	10415	7578
5980	3272	2562	3168	7563	7204	3862	3841	5530	10066	7415
10178	0	0	0	4	6	0	0	1	3	3
5081	0	0	0	9	1	0	0	0	0	0
10747	0	0	0	0	1	1	0	1	0	2
389434	0	0	0	1	1	5	2	7	1	3
199870	657	589	567	599	670	659	606	791	407	359
80342	0	0	0	0	1	0	1	0	0	0
29954	1134	837	1064	1398	1324	1185	1142	1348	1240	943
51534	4330	3664	4008	6542	6393	4981	5075	6007	6291	5376
51085	0	0	2	2	0	0	1	0	8	3
9031	8321	6687	7929	11554	11390	9920	9283	12044	12186	9208
10048	4164	3594	4134	5556	5370	3516	3495	4312	3971	2800
51513	11	6	12	231	203	921	891	1234	1466	1201
83932	817	698	811	1202	1119	941	831	1084	1333	998
51603	1318	995	1142	1857	1607	2047	1513	2150	1891	1437
8798	2067	1935	2003	1819	1926	1815	1611	1860	1365	1038
7756	7936	7012	7798	12471	12443	9273	8898	11202	12183	9798
7384	7839	6153	7179	7436	7339	8648	7161	9379	8261	6064
83930	3048	2774	2822	2475	2481	3903	3596	4258	2584	2127
928	1361	1124	1244	1511	1559	1501	1305	1660	910	869
57467	0	1	0	10	5	2	1	4	22	5
9918	1122	915	1095	1429	1354	1049	1003	1431	1530	874
